verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
25088,0.036196,0.000267,0.089845,0.007030,0.006551,0.10,0.04,0.15,97;
25088,0.035076,0.000375,0.089830,0.007181,0.006634,0.11,0.03,0.15,98;
25088,0.044237,0.000353,0.089805,0.007310,0.006932,0.11,0.04,0.16,98;
25088,0.034610,0.000382,0.089842,0.007631,0.007352,0.10,0.04,0.15,98;
25088,0.035262,0.000256,0.089817,0.007144,0.006499,0.11,0.03,0.15,98;
25088,0.043167,0.000405,0.089803,0.007330,0.006775,0.11,0.04,0.17,89;
25088,0.035056,0.000363,0.089857,0.007064,0.006617,0.11,0.04,0.17,87;
25088,0.037588,0.000365,0.089760,0.007112,0.006333,0.10,0.05,0.17,88;
25088,0.038307,0.000267,0.089744,0.007047,0.006621,0.10,0.04,0.15,98;
25088,0.042825,0.000289,0.089723,0.007760,0.007409,0.10,0.05,0.18,87;
25088,0.036167,0.000379,0.089812,0.007303,0.006677,0.10,0.04,0.17,88;
25088,0.038923,0.000261,0.090014,0.007227,0.006552,0.10,0.04,0.15,98;
25088,0.040182,0.000269,0.089807,0.007160,0.006673,0.11,0.03,0.17,88;
25088,0.038237,0.000361,0.089786,0.007063,0.006518,0.10,0.05,0.16,98;
25088,0.035078,0.000265,0.089749,0.007153,0.006582,0.10,0.04,0.15,98;
25088,0.040037,0.000288,0.089718,0.007938,0.007146,0.12,0.03,0.17,88;
25088,0.043782,0.000401,0.089765,0.007594,0.007250,0.11,0.05,0.18,87;
25088,0.035810,0.000369,0.089945,0.006998,0.006726,0.11,0.04,0.15,98;
25088,0.035662,0.000257,0.089777,0.007272,0.007004,0.10,0.04,0.17,88;
25088,0.040038,0.000264,0.089770,0.007070,0.006509,0.11,0.03,0.15,97;
25088,0.035382,0.000261,0.089790,0.007138,0.006492,0.10,0.04,0.15,98;
25088,0.035621,0.000372,0.089844,0.007054,0.006485,0.11,0.03,0.15,98;
25088,0.043788,0.000284,0.089732,0.007548,0.007247,0.10,0.05,0.18,85;
25088,0.035093,0.000317,0.089778,0.007083,0.006439,0.10,0.05,0.17,89;
25088,0.035245,0.000264,0.089873,0.007068,0.006485,0.11,0.03,0.15,98;
