verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
12500,12500,2.195876,0.017027,3.044917,9.445748,13.72,1.03,14.78,99;
12500,12500,2.245425,0.017230,2.779104,9.311364,13.39,1.02,14.41,99;
12500,12500,2.234066,0.017208,2.854929,9.233251,13.33,1.06,14.40,99;
12500,12500,2.236483,0.017931,3.116746,9.780713,14.17,1.04,15.22,99;
12500,12500,2.234981,0.017381,3.044392,9.634100,13.98,1.01,14.99,99;
12500,12500,2.218996,0.018017,3.036546,9.687428,13.94,1.08,15.02,99;
12500,12500,2.241846,0.017537,3.042938,9.567461,13.95,0.97,14.93,99;
12500,12500,2.240165,0.017694,2.808856,9.281715,13.24,1.16,14.41,99;
12500,12500,2.241612,0.017923,3.084450,9.737013,14.20,0.93,15.14,99;
12500,12500,2.238413,0.017990,2.790608,9.314402,13.43,0.99,14.42,99;
12500,12500,2.265088,0.017932,2.798159,9.298420,13.38,1.05,14.44,99;
12500,12500,2.233984,0.017971,2.797817,9.266960,13.31,1.07,14.38,99;
12500,12500,2.234192,0.017910,3.006802,9.546538,13.91,0.95,14.87,99;
12500,12500,2.236129,0.017407,2.800506,9.301077,13.48,0.94,14.42,99;
12500,12500,2.234879,0.018047,2.817022,9.375165,13.54,0.96,14.51,99;
12500,12500,2.241314,0.017749,3.063705,9.673842,14.03,1.02,15.06,99;
12500,12500,2.205556,0.017749,3.106621,9.555414,13.91,1.03,14.95,99;
12500,12500,2.238102,0.018311,3.006896,9.708120,14.06,0.96,15.03,99;
12500,12500,2.240643,0.017410,2.970842,9.616118,13.84,1.06,14.91,99;
12500,12500,2.198872,0.017837,3.057637,9.472246,13.81,0.99,14.81,99;
12500,12500,2.200472,0.018092,3.011712,9.466287,13.71,1.04,14.76,99;
12500,12500,2.200587,0.017984,2.842131,9.334655,13.46,1.00,14.46,100;
12500,12500,2.239896,0.018125,2.843740,9.405653,13.66,0.91,14.57,99;
12500,12500,2.244829,0.018126,2.912260,9.516539,13.68,1.06,14.75,99;
12500,12500,2.238147,0.017972,2.870598,9.409021,13.60,0.99,14.60,99;
